ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,weighted rank
103,Virginia Beach,VA,47410,220275,1124,68.2,52,35.7,3.3,287932,56881,30,36.7335,-76.0435,"$13,320.91 ",23%,13488,24%,24%,23.50,83,186,126.50,95
116,Brownsville,TX,35240,,683,,,31.4,6.2,103350,49968,1,25.998,-97.4565,"$4,781.39 ",10%,8196,16%,13%,13.00,23,139,129.00,96
110,El Paso,TX,38610,151300,789,77.4,51.6,31.9,4.3,136997,36786,3,31.8479,-106.431,"$6,338.04 ",17%,9468,26%,22%,21.50,69,179,131.50,97
114,New Orleans,LA,43310,193575,947,78.2,61.1,37.7,4.5,225899,53047,5,30.0687,-89.9288,"$10,451.01 ",20%,11364,21%,21%,20.50,77,191,134.50,98
122,Shreveport,LA,39400,,789,,,36.7,5.2,103134,55397,3,32.4659,-93.7959,"$4,771.40 ",9%,9468,17%,13%,13.00,19,141,135.00,99
118,Memphis,TN,43950,151900,883,72.4,53.6,35.9,4.1,93598,43121,9,35.1046,-89.9773,"$4,330.23 ",10%,10596,25%,18%,17.50,24,142,135.50,100
121,Mobile,AL,43830,126976,828,,,37.3,4.7,127644,55249,1,30.6782,-88.1163,"$5,905.33 ",11%,9936,18%,15%,14.50,30,151,135.50,101
119,Fresno,CA,45510,260733,931,76.7,51.9,31.8,7.4,257940,60100,3,36.7831,-119.794,"$11,933.36 ",20%,11172,19%,20%,19.50,75,194,138.50,102
113,Miami,FL,46860,247113,1232,84.3,70,40.7,3.7,392862,64384,46,25.7839,-80.2102,"$18,175.40 ",28%,14784,23%,26%,25.50,92,205,138.50,103
107,Los Angeles,CA,53803,526214,1362,69,56.2,35.9,4.2,756217,73934,164,34.1139,-118.407,"$34,985.68 ",47%,16344,22%,35%,34.50,103,210,141.50,104
120,Modesto,CA,46176,289168,1011,76,51.3,32.9,7,313307,59367,4,37.6374,-121.003,"$14,494.86 ",24%,12132,20%,22%,22.00,84,204,142.00,105
124,Bakersfield,CA,47680,226908,933,76.8,53.5,31.3,8,254820,59792,2,35.353,-119.036,"$11,789.01 ",20%,11196,19%,20%,19.50,74,198,143.50,106
123,Stockton,CA,46770,352350,1100,74.3,48.3,33.9,5.9,320134,59113,6,37.9766,-121.311,"$14,810.70 ",25%,13200,22%,24%,23.50,88,211,146.50,107
117,Salinas,CA,48290,581342,1338,,,33.9,6.4,521572,60591,2,36.6884,-121.632,"$24,130.05 ",40%,16056,26%,33%,33.00,100,217,150.00,108
